Description,Gene,LB_copies_per_cell,LB_coef_of_var
RNA polymerase-associated protein rapA OS=Escherichia coli (strain K12) GN=rapA PE=1 SV=2,rapA,540,24.98
Protein yhgF OS=Escherichia coli (strain K12) GN=yhgF PE=1 SV=3,yhgF,329,5.25
2-amino-3-ketobutyrate coenzyme A ligase OS=Escherichia coli (strain K12) GN=kbl PE=1 SV=1,kbl,2297,24.41
DNA protection during starvation protein OS=Escherichia coli (strain K12) GN=dps PE=1 SV=2,dps,10435,4.85
30S ribosomal protein S7 OS=Escherichia coli (strain K12) GN=rpsG PE=1 SV=3,rpsG,136334,3.75
D-3-phosphoglycerate dehydrogenase OS=Escherichia coli (strain K12) GN=serA PE=1 SV=2,serA,910,5.73
Aspartate-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) GN=asd PE=1 SV=1,asd,3849,3.35
Fructose-bisphosphate aldolase class 1 OS=Escherichia coli (strain K12) GN=fbaB PE=1 SV=2,fbaB,1182,7.19
6-phosphogluconolactonase OS=Escherichia coli (strain K12) GN=pgl PE=1 SV=2,pgl,2203,6.05
30S ribosomal protein S4 OS=Escherichia coli (strain K12) GN=rpsD PE=1 SV=2,rpsD,35055,4.66
UPF0409 protein ycdO OS=Escherichia coli (strain K12) GN=ycdO PE=1 SV=1,efeO,426,2.76
Glucose-1-phosphatase OS=Escherichia coli (strain K12) GN=agp PE=1 SV=1,agp,1367,1.67
2-dehydro-3-deoxyphosphooctonate aldolase OS=Escherichia coli (strain K12) GN=kdsA PE=1 SV=1,kdsA,4123,4.49
UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galU PE=1 SV=2,galU,2449,1.73
Septum site-determining protein minD OS=Escherichia coli (strain K12) GN=minD PE=1 SV=2,minD,4928,8.22
D-alanyl-D-alanine carboxypeptidase dacC OS=Escherichia coli (strain K12) GN=dacC PE=1 SV=2,dacC,956,3.14
Ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) GN=cyoA PE=1 SV=1,cyoA,7655,10.62
Phosphoribosylglycinamide formyltransferase 2 OS=Escherichia coli (strain K12) GN=purT PE=1 SV=3,purT,363,2.30
Xaa-Pro dipeptidase OS=Escherichia coli (strain K12) GN=pepQ PE=1 SV=2,pepQ,1877,3.27
Glucans biosynthesis protein G OS=Escherichia coli (strain K12) GN=mdoG PE=1 SV=1,mdoG,1265,1.61
Gamma-glutamyl phosphate reductase OS=Escherichia coli (strain K12) GN=proA PE=1 SV=2,proA,1214,1.63
Vitamin B12 transporter BtuB OS=Escherichia coli (strain K12) GN=btuB PE=1 SV=2,btuB,832,10.08
Uncharacterized oxidoreductase YajO OS=Escherichia coli (strain K12) GN=yajO PE=3 SV=2,yajO,357,7.17
4-aminobutyrate aminotransferase OS=Escherichia coli (strain K12) GN=gabT PE=1 SV=1,gabT,945,3.14
Peptide chain release factor 3 OS=Escherichia coli (strain K12) GN=prfC PE=1 SV=2,prfC,1380,2.05
CDP-diacylglycerol--serine O-phosphatidyltransferase OS=Escherichia coli (strain K12) GN=pssA PE=1 SV=2,pssA,730,6.25
Magnesium and cobalt efflux protein CorC OS=Escherichia coli (strain K12) GN=corC PE=3 SV=1,corC,363,9.04
Glutamate 5-kinase OS=Escherichia coli (strain K12) GN=proB PE=1 SV=1,proB,812,3.59
Uncharacterized lipoprotein yfhM OS=Escherichia coli (strain K12) GN=yfhM PE=4 SV=1,yfhM,60,5.69
Gamma-glutamyltranspeptidase OS=Escherichia coli (strain K12) GN=ggt PE=1 SV=1,ggt,269,25.36
2-methylcitrate dehydratase OS=Escherichia coli (strain K12) GN=prpD PE=1 SV=3,prpD,181,13.23
Uracil phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=upp PE=1 SV=1,upp,16450,2.23
50S ribosomal protein L3 OS=Escherichia coli (strain K12) GN=rplC PE=1 SV=1,rplC,40858,4.54
Ribose-phosphate pyrophosphokinase OS=Escherichia coli (strain K12) GN=prs PE=1 SV=2,prs,9372,3.55
Protein grpE OS=Escherichia coli (strain K12) GN=grpE PE=1 SV=1,grpE,16830,1.96
Histidine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=hisJ PE=1 SV=1,hisJ,3332,2.79
Aminoacyl-histidine dipeptidase OS=Escherichia coli (strain K12) GN=pepD PE=1 SV=3,pepD,5961,4.65
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Escherichia coli (strain K12) GN=dapD PE=1 SV=1",dapD,8342,3.57
Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1,ackA,8612,2.14
Uridine phosphorylase OS=Escherichia coli (strain K12) GN=udp PE=1 SV=3,udp,27495,3.70
Bacterioferritin OS=Escherichia coli (strain K12) GN=bfr PE=1 SV=1,bfr,3039,10.57
Acetylornithine deacetylase OS=Escherichia coli (strain K12) GN=argE PE=1 SV=2,argE,326,3.63
Transcriptional regulatory protein phoP OS=Escherichia coli (strain K12) GN=phoP PE=1 SV=1,phoP,3132,7.68
Aspartate ammonia-lyase OS=Escherichia coli (strain K12) GN=aspA PE=1 SV=1,aspA,5578,14.84
ATP synthase gamma chain OS=Escherichia coli (strain K12) GN=atpG PE=1 SV=1,atpG,3812,6.98
Protein ydgH OS=Escherichia coli (strain K12) GN=ydgH PE=1 SV=1,ydgH,2669,2.42
ATP phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hisG PE=1 SV=1,hisG,504,4.10
Acetolactate synthase isozyme 3 large subunit OS=Escherichia coli (strain K12) GN=ilvI PE=1 SV=2,ilvI,114,2.08
Bifunctional protein glmU OS=Escherichia coli (strain K12) GN=glmU PE=1 SV=1,glmU,804,2.66
Xaa-Pro aminopeptidase OS=Escherichia coli (strain K12) GN=pepP PE=1 SV=2,pepP,973,3.04
Fumarate hydratase class II OS=Escherichia coli (strain K12) GN=fumC PE=1 SV=1,fumC,996,8.82
Cation efflux system protein CusB OS=Escherichia coli (strain K12) GN=cusB PE=1 SV=1,cusB,385,10.51
Thymidine phosphorylase OS=Escherichia coli (strain K12) GN=deoA PE=1 SV=3,deoA,1556,15.21
6-phospho-beta-glucosidase BglA OS=Escherichia coli (strain K12) GN=bglA PE=3 SV=2,bglA,485,10.98
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase OS=Escherichia coli (strain K12) GN=ispG PE=1 SV=1,ispG,969,4.25
Nicotinate phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=pncB PE=1 SV=3,pncB,365,6.31
Formate dehydrogenase-O major subunit OS=Escherichia coli (strain K12) GN=fdoG PE=1 SV=5,fdoG,2034,9.65
D-methionine-binding lipoprotein metQ OS=Escherichia coli (strain K12) GN=metQ PE=1 SV=2,metQ,3958,1.43
S-ribosylhomocysteine lyase OS=Escherichia coli (strain K12) GN=luxS PE=1 SV=3,luxS,5305,3.15
30S ribosomal protein S6 OS=Escherichia coli (strain K12) GN=rpsF PE=1 SV=1,rpsF,42242,2.88
30S ribosomal protein S5 OS=Escherichia coli (strain K12) GN=rpsE PE=1 SV=2,rpsE,49612,2.49
Glutamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=glnH PE=1 SV=1,glnH,5618,6.46
Transketolase 2 OS=Escherichia coli (strain K12) GN=tktB PE=1 SV=1,tktB,379,4.48
UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galF PE=1 SV=1,galF,4890,3.97
Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1,dapB,2525,1.38
Mannitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=mtlD PE=1 SV=3,mtlD,1459,7.95
NAD(P) transhydrogenase subunit beta OS=Escherichia coli (strain K12) GN=pntB PE=1 SV=1,pntB,1461,7.28
Tyrosyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=tyrS PE=1 SV=2,tyrS,3362,3.59
"Glutamate-1-semialdehyde 2,1-aminomutase OS=Escherichia coli (strain K12) GN=hemL PE=1 SV=2",hemL,3785,2.33
NAD(P) transhydrogenase subunit alpha OS=Escherichia coli (strain K12) GN=pntA PE=1 SV=2,pntA,895,7.32
"2,5-diketo-D-gluconic acid reductase A OS=Escherichia coli (strain K12) GN=dkgA PE=1 SV=3",dkgA,735,2.76
Phosphoribosylamine--glycine ligase OS=Escherichia coli (strain K12) GN=purD PE=1 SV=2,purD,423,4.12
Methionine aminopeptidase OS=Escherichia coli (strain K12) GN=map PE=1 SV=1,map,2077,2.01
Quinoprotein glucose dehydrogenase OS=Escherichia coli (strain K12) GN=gcd PE=1 SV=3,gcd,85,7.87
Protein recA OS=Escherichia coli (strain K12) GN=recA PE=1 SV=2,recA,3139,7.29
Glyoxylate/hydroxypyruvate reductase B OS=Escherichia coli (strain K12) GN=ghrB PE=1 SV=3,ghrB,1289,6.15
UPF0304 protein yfbU OS=Escherichia coli (strain K12) GN=yfbU PE=1 SV=1,yfbU,1387,11.73
Bifunctional protein hldE OS=Escherichia coli (strain K12) GN=hldE PE=1 SV=1,hldE,1349,2.66
Dihydroorotate dehydrogenase OS=Escherichia coli (strain K12) GN=pyrD PE=1 SV=1,pyrD,519,7.66
Uncharacterized protein yjgR OS=Escherichia coli (strain K12) GN=yjgR PE=1 SV=1,yjgR,118,3.82
Periplasmic trehalase OS=Escherichia coli (strain K12) GN=treA PE=1 SV=1,treA,70,2.29
Aromatic-amino-acid aminotransferase OS=Escherichia coli (strain K12) GN=tyrB PE=1 SV=1,tyrB,895,6.77
PTS system N-acetylglucosamine-specific EIICBA component OS=Escherichia coli (strain K12) GN=nagE PE=4 SV=1,nagE,1768,6.48
Glutamate--cysteine ligase OS=Escherichia coli (strain K12) GN=gshA PE=1 SV=1,gshA,611,3.32
DNA ligase OS=Escherichia coli (strain K12) GN=ligA PE=1 SV=2,ligA,647,1.53
"dTDP-glucose 4,6-dehydratase 1 OS=Escherichia coli (strain K12) GN=rfbB PE=3 SV=2",rfbB,2504,6.25
(Dimethylallyl)adenosine tRNA methylthiotransferase miaB OS=Escherichia coli (strain K12) GN=miaB PE=1 SV=1,miaB,2315,1.72
ATP-dependent RNA helicase srmB OS=Escherichia coli (strain K12) GN=srmB PE=1 SV=1,srmB,719,1.87
UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Escherichia coli (strain K12) GN=murA PE=1 SV=1,murA,1266,6.20
Ubiquinone/menaquinone biosynthesis methyltransferase ubiE OS=Escherichia coli (strain K12) GN=ubiE PE=1 SV=1,ubiE,1739,2.00
1-deoxy-D-xylulose-5-phosphate synthase OS=Escherichia coli (strain K12) GN=dxs PE=1 SV=3,dxs,697,11.67
Transcriptional regulatory protein tyrR OS=Escherichia coli (strain K12) GN=tyrR PE=1 SV=2,tyrR,225,9.36
Aspartate--ammonia ligase OS=Escherichia coli (strain K12) GN=asnA PE=1 SV=1,asnA,601,4.17
Threonine dehydratase biosynthetic OS=Escherichia coli (strain K12) GN=ilvA PE=1 SV=1,ilvA,98,2.15
Ribosomal large subunit pseudouridine synthase C OS=Escherichia coli (strain K12) GN=rluC PE=1 SV=1,rluC,326,8.83
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase OS=Escherichia coli (strain K12) GN=gpmA PE=1 SV=2",gpmA,17793,2.62
Uncharacterized protein yjgK OS=Escherichia coli (strain K12) GN=yjgK PE=1 SV=1,tabA,12656,3.21
Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Escherichia coli (strain K12) GN=purC PE=1 SV=1,purC,1498,3.06
Alkyl hydroperoxide reductase subunit C OS=Escherichia coli (strain K12) GN=ahpC PE=1 SV=2,ahpC,77834,2.17
Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1,carA,792,0.95
Deoxyribose-phosphate aldolase OS=Escherichia coli (strain K12) GN=deoC PE=1 SV=1,deoC,7170,6.97
Stringent starvation protein A OS=Escherichia coli (strain K12) GN=sspA PE=1 SV=2,sspA,8208,5.17
Putative peroxiredoxin bcp OS=Escherichia coli (strain K12) GN=bcp PE=1 SV=1,bcp,7717,6.96
Protein tolB OS=Escherichia coli (strain K12) GN=tolB PE=1 SV=1,tolB,1404,2.72
Thioredoxin reductase OS=Escherichia coli (strain K12) GN=trxB PE=1 SV=2,trxB,5509,4.32
Cytosine deaminase OS=Escherichia coli (strain K12) GN=codA PE=1 SV=3,codA,691,4.00
Leucine-specific-binding protein OS=Escherichia coli (strain K12) GN=livK PE=1 SV=2,livK,391,2.01
Acriflavine resistance protein B OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1,acrB,643,5.69
Catabolite gene activator OS=Escherichia coli (strain K12) GN=crp PE=1 SV=1,crp,3450,8.04
Transcription antitermination protein nusG OS=Escherichia coli (strain K12) GN=nusG PE=1 SV=2,nusG,6938,1.66
Peptide chain release factor 2 OS=Escherichia coli (strain K12) GN=prfB PE=1 SV=3,prfB,2892,7.05
RNA polymerase sigma factor rpoD OS=Escherichia coli (strain K12) GN=rpoD PE=1 SV=2,rpoD,1657,4.04
Tryptophan synthase alpha chain OS=Escherichia coli (strain K12) GN=trpA PE=1 SV=1,trpA,1705,4.98
Aldose 1-epimerase OS=Escherichia coli (strain K12) GN=galM PE=1 SV=1,galM,2363,3.08
D-alanyl-D-alanine carboxypeptidase dacA OS=Escherichia coli (strain K12) GN=dacA PE=1 SV=1,dacA,1960,0.87
3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Escherichia coli (strain K12) GN=fabH PE=1 SV=1,fabH,3559,2.80
Protease degQ OS=Escherichia coli (strain K12) GN=degQ PE=1 SV=1,degQ,848,0.84
GTP-dependent nucleic acid-binding protein engD OS=Escherichia coli (strain K12) GN=engD PE=1 SV=2,ychF,4454,1.15
UPF0502 protein yceH OS=Escherichia coli (strain K12) GN=yceH PE=1 SV=3,yceH,1137,5.70
Molybdate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=modA PE=1 SV=1,modA,1058,8.02
Cell division protein ftsA OS=Escherichia coli (strain K12) GN=ftsA PE=3 SV=1,ftsA,792,6.35
Aminomethyltransferase OS=Escherichia coli (strain K12) GN=gcvT PE=1 SV=3,gcvT,2199,4.25
Chaperone protein hscA OS=Escherichia coli (strain K12) GN=hscA PE=1 SV=1,hscA,1040,8.41
Uncharacterized protein ygiF OS=Escherichia coli (strain K12) GN=ygiF PE=4 SV=1,ygiF,303,5.77
Esterase frsA OS=Escherichia coli (strain K12) GN=frsA PE=3 SV=2,frsA,271,0.86
Soluble lytic murein transglycosylase OS=Escherichia coli (strain K12) GN=slt PE=1 SV=1,slt,89,7.26
Cold-shock DEAD box protein A OS=Escherichia coli (strain K12) GN=deaD PE=1 SV=2,deaD,1899,5.18
"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive OS=Escherichia coli (strain K12) GN=aroF PE=1 SV=1",aroF,454,6.38
tRNA sulfurtransferase OS=Escherichia coli (strain K12) GN=thiI PE=1 SV=1,thiI,537,6.78
Anaerobic glycerol-3-phosphate dehydrogenase subunit A OS=Escherichia coli (strain K12) GN=glpA PE=1 SV=1,glpA,463,8.86
Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1,yheS,137,7.94
HTH-type transcriptional regulator malT OS=Escherichia coli (strain K12) GN=malT PE=1 SV=2,malT,75,1.91
Superoxide dismutase [Mn] OS=Escherichia coli (strain K12) GN=sodA PE=1 SV=2,sodA,27082,4.12
50S ribosomal protein L6 OS=Escherichia coli (strain K12) GN=rplF PE=1 SV=2,rplF,50099,2.20
UPF0265 protein yeeX OS=Escherichia coli (strain K12) GN=yeeX PE=3 SV=1,yeeX,15122,1.79
Spermidine/putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potD PE=1 SV=1,potD,4165,2.40
3-isopropylmalate dehydrogenase OS=Escherichia coli (strain K12) GN=leuB PE=1 SV=3,leuB,593,3.26
Uncharacterized lipoprotein ydcL OS=Escherichia coli (strain K12) GN=ydcL PE=4 SV=1,ydcL,1284,4.13
Putative ABC transporter arginine-binding protein 2 OS=Escherichia coli (strain K12) GN=artI PE=1 SV=3,artI,2782,4.40
3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Escherichia coli (strain K12) GN=fabF PE=1 SV=2,fabF,4916,3.43
6-phosphofructokinase isozyme 2 OS=Escherichia coli (strain K12) GN=pfkB PE=1 SV=2,pfkB,609,2.76
Chain length determinant protein OS=Escherichia coli (strain K12) GN=wzzB PE=1 SV=2,wzzB,2331,1.45
Histidinol dehydrogenase OS=Escherichia coli (strain K12) GN=hisD PE=1 SV=5,hisD,778,5.77
Phosphoheptose isomerase OS=Escherichia coli (strain K12) GN=gmhA PE=1 SV=1,gmhA,4725,6.91
3-oxoacyl-[acyl-carrier-protein] reductase OS=Escherichia coli (strain K12) GN=fabG PE=1 SV=1,fabG,8991,4.30
Cell division protein ftsY OS=Escherichia coli (strain K12) GN=ftsY PE=1 SV=1,ftsY,1803,4.00
3-phosphoshikimate 1-carboxyvinyltransferase OS=Escherichia coli (strain K12) GN=aroA PE=1 SV=1,aroA,658,5.11
Putative ABC transporter periplasmic-binding protein ydcS OS=Escherichia coli (strain K12) GN=ydcS PE=3 SV=1,ydcS,232,2.13
GTP cyclohydrolase 1 OS=Escherichia coli (strain K12) GN=folE PE=1 SV=2,folE,1659,3.33
Protein damX OS=Escherichia coli (strain K12) GN=damX PE=1 SV=2,damX,1194,3.98
Putative quinone oxidoreductase YhdH OS=Escherichia coli (strain K12) GN=yhdH PE=1 SV=1,acuI,1235,0.54
Protein dcrB OS=Escherichia coli (strain K12) GN=dcrB PE=1 SV=1,dcrB,3454,1.60
Probable phospholipid-binding protein mlaC OS=Escherichia coli (strain K12) GN=mlaC PE=1 SV=1,mlaC,2178,2.31
Modulator of FtsH protease HflC OS=Escherichia coli (strain K12) GN=hflC PE=1 SV=1,hflC,2128,3.79
Mannose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=manA PE=1 SV=1,manA,2033,4.12
"Fructose-1,6-bisphosphatase class 1 OS=Escherichia coli (strain K12) GN=fbp PE=1 SV=1",fbp,3235,3.68
Chaperone protein dnaJ OS=Escherichia coli (strain K12) GN=dnaJ PE=1 SV=3,dnaJ,2011,4.43
Tryptophanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=trpS PE=1 SV=3,trpS,2000,8.92
"Lysyl-tRNA synthetase, heat inducible OS=Escherichia coli (strain K12) GN=lysU PE=1 SV=2",lysU,2372,4.32
Anthranilate synthase component II OS=Escherichia coli (strain K12) GN=trpD PE=1 SV=3,trpG,332,6.47
sn-glycerol-3-phosphate-binding periplasmic protein ugpB OS=Escherichia coli (strain K12) GN=ugpB PE=1 SV=1,ugpB,180,4.73
Histidinol-phosphate aminotransferase OS=Escherichia coli (strain K12) GN=hisC PE=1 SV=2,hisC,340,5.49
UPF0701 protein yicC OS=Escherichia coli (strain K12) GN=yicC PE=1 SV=2,yicC,963,1.07
GsiB OS=Escherichia coli (strain K12) GN=gsiB PE=4 SV=1,gsiB,180,4.54
P-protein OS=Escherichia coli (strain K12) GN=pheA PE=1 SV=1,pheA,677,7.50
HTH-type transcriptional repressor purR OS=Escherichia coli (strain K12) GN=purR PE=1 SV=2,purR,645,5.41
Cation efflux system protein CusC OS=Escherichia coli (strain K12) GN=cusC PE=1 SV=1,cusC,605,11.35
Gamma-aminobutyraldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=prr PE=1 SV=1,prr,773,3.35
Uncharacterized protein yghZ OS=Escherichia coli (strain K12) GN=yghZ PE=1 SV=1,gpr,395,8.23
UDP-glucose 4-epimerase OS=Escherichia coli (strain K12) GN=galE PE=1 SV=1,galE,1752,3.68
Glucokinase OS=Escherichia coli (strain K12) GN=glk PE=1 SV=1,glk,610,6.91
UvrABC system protein B OS=Escherichia coli (strain K12) GN=uvrB PE=1 SV=2,uvrB,158,9.72
Queuine tRNA-ribosyltransferase OS=Escherichia coli (strain K12) GN=tgt PE=1 SV=1,tgt,1067,8.72
Galactokinase OS=Escherichia coli (strain K12) GN=galK PE=1 SV=2,galK,1786,11.32
UPF0227 protein ycfP OS=Escherichia coli (strain K12) GN=ycfP PE=3 SV=1,ycfP,965,2.36
"PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit dhaK OS=Escherichia coli (strain K12) GN=dhaK PE=1 SV=2",dhaK,945,4.11
Coenzyme A biosynthesis bifunctional protein CoaBC OS=Escherichia coli (strain K12) GN=coaBC PE=1 SV=2,coaB,596,9.22
Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Escherichia coli (strain K12) GN=nadC PE=1 SV=7,nadC,568,8.79
UDP-galactopyranose mutase OS=Escherichia coli (strain K12) GN=glf PE=1 SV=1,glf,1590,2.81
Uncharacterized ABC transporter ATP-binding protein YbiT OS=Escherichia coli (strain K12) GN=ybiT PE=1 SV=1,ybiT,737,8.67
Type I restriction enzyme EcoKI M protein OS=Escherichia coli (strain K12) GN=hsdM PE=1 SV=1,hsdM,768,5.71
Hydrogen peroxide-inducible genes activator OS=Escherichia coli (strain K12) GN=oxyR PE=1 SV=1,oxyR,578,3.91
GTPase Der OS=Escherichia coli (strain K12) GN=der PE=1 SV=1,der,369,2.88
Uncharacterized protease yegQ OS=Escherichia coli (strain K12) GN=yegQ PE=3 SV=1,yegQ,684,3.00
Galactose/methyl galactoside import ATP-binding protein MglA OS=Escherichia coli (strain K12) GN=mglA PE=1 SV=1,mglA,336,3.77
Glucose-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=crr PE=1 SV=2,crr,25210,6.75
Flavoprotein wrbA OS=Escherichia coli (strain K12) GN=wrbA PE=1 SV=2,wrbA,3467,5.03
Uncharacterized protein ygaU OS=Escherichia coli (strain K12) GN=ygaU PE=1 SV=2,ygaU,1146,6.06
30S ribosomal protein S8 OS=Escherichia coli (strain K12) GN=rpsH PE=1 SV=2,rpsH,58622,1.75
Translation initiation factor IF-3 OS=Escherichia coli (strain K12) GN=infC PE=1 SV=1,infC,13496,9.66
FKBP-type peptidyl-prolyl cis-trans isomerase fkpA OS=Escherichia coli (strain K12) GN=fkpA PE=1 SV=1,fkpA,10637,3.46
Universal stress protein E OS=Escherichia coli (strain K12) GN=uspE PE=1 SV=2,uspE,1635,2.73
ATP synthase subunit delta OS=Escherichia coli (strain K12) GN=atpH PE=1 SV=1,atpH,11886,2.87
Ribosome-recycling factor OS=Escherichia coli (strain K12) GN=frr PE=1 SV=1,frr,8329,3.87
Pyruvate dehydrogenase [ubiquinone] OS=Escherichia coli (strain K12) GN=poxB PE=1 SV=1,poxB,170,8.16
Malonyl CoA-acyl carrier protein transacylase OS=Escherichia coli (strain K12) GN=fabD PE=1 SV=2,fabD,6549,17.57
33 kDa chaperonin OS=Escherichia coli (strain K12) GN=hslO PE=1 SV=1,hslO,5556,2.33
3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=panB PE=1 SV=1,panB,2118,15.13
Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1,panC,1437,5.88
Glutathione synthetase OS=Escherichia coli (strain K12) GN=gshB PE=1 SV=1,gshB,1594,3.98
Protein UshA OS=Escherichia coli (strain K12) GN=ushA PE=1 SV=2,ushA,459,5.29
Histidine biosynthesis bifunctional protein hisB OS=Escherichia coli (strain K12) GN=hisB PE=1 SV=1,hisB,692,5.55
PhoH-like protein OS=Escherichia coli (strain K12) GN=ybeZ PE=1 SV=2,ybeZ,1453,3.46
Acetylglutamate kinase OS=Escherichia coli (strain K12) GN=argB PE=1 SV=1,argB,405,4.84
FeS cluster assembly protein sufD OS=Escherichia coli (strain K12) GN=sufD PE=1 SV=1,sufD,154,9.55
Transcriptional regulatory protein ompR OS=Escherichia coli (strain K12) GN=ompR PE=1 SV=1,ompR,1606,1.76
Multiphosphoryl transfer protein OS=Escherichia coli (strain K12) GN=fruB PE=1 SV=1,fruB,590,7.65
AMP nucleosidase OS=Escherichia coli (strain K12) GN=amn PE=1 SV=1,amn,313,7.35
GMP reductase OS=Escherichia coli (strain K12) GN=guaC PE=1 SV=1,guaC,1215,5.61
Putative uroporphyrinogen-III C-methyltransferase OS=Escherichia coli (strain K12) GN=hemX PE=1 SV=1,hemX,996,1.89
Glucose-1-phosphate adenylyltransferase OS=Escherichia coli (strain K12) GN=glgC PE=1 SV=2,glgC,309,5.74
Cystathionine beta-lyase metC OS=Escherichia coli (strain K12) GN=metC PE=1 SV=1,metC,319,13.65
"Selenide, water dikinase OS=Escherichia coli (strain K12) GN=selD PE=1 SV=1",selD,1402,4.44
